,MINISTERIO DE EDUCACION NACIONAL,,,,,,
,REGION EJE CAFETERO Y ANTIOQUIA 2010 - 2015,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,REGIONES,2010,2011*,2012*,2013*,2014,2015
,ANTIOQUIA,"41,0%","44,4%","45,4%","48,8%","51,0%","52,8%"
,CALDAS,"35,1%","37,2%","40,2%","44,5%","48,5%","51,0%"
,QUINDIO,"50,6%","50,2%","56,1%","58,6%","54,7%","58,8%"
,RISARALDA,"42,4%","44,2%","45,4%","50,1%","56,3%","56,8%"
,REGION EJE CAFETERIO Y ANTIOQUIA,"41,0%","43,9%","45,5%","49,1%","51,5%","53,4%"
,NACIONAL,"37,1%","40,4%","41,7%","45,2%","47,8%","49,4%"
