,MINISTERIO DE EDUCACION NACIONAL,,,,,,
,REGION CARIBE 2010 - 2015,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,REGIONES,2010,2011*,2012*,2013*,2014,2015
,ATLANTICO,"37,9%","40,2%","42,0%","49,5%","56,8%","58,4%"
,BOLIVAR,"28,0%","32,5%","32,9%","35,7%","35,6%","37,2%"
,CESAR,"21,6%","25,0%","26,5%","28,9%","30,2%","31,1%"
,CORDOBA,"17,0%","18,1%","19,8%","22,0%","23,1%","22,4%"
,LA GUAJIRA,"17,5%","16,1%","15,5%","16,0%","18,9%","22,6%"
,MAGDALENA,"20,5%","26,6%","28,9%","30,4%","29,6%","31,1%"
,SUCRE,"17,0%","20,7%","19,2%","21,7%","24,1%","24,2%"
,SAN ANDRES Y PROVIDENCIA,"25,7%","15,5%","17,4%","18,8%","27,6%","25,1%"
,REGIÓN CARIBE,"24,9%","27,7%","28,7%","32,0%","34,3%","35,4%"
,NACIONAL,"37,1%","40,4%","41,7%","45,2%","47,8%","49,4%"
